slug	local_name	qualified_name
alconbury-brook	Alconbury Brook	Alconbury Brook
aldford-brook	Aldford Brook	Aldford Brook
aldingbourne-rife	Aldingbourne Rife	Aldingbourne Rife
aller-brook	Aller Brook	Aller Brook
allison-dike	Allison Dike	Allison Dike
alverthorpe-beck	Alverthorpe Beck	Alverthorpe Beck
alwen	Alwen	Alwen
alyn	Alyn	Alyn
ampney-brook	Ampney Brook	Ampney Brook
arkle-beck	Arkle Beck	Arkle Beck
arrowe-brook	Arrowe Brook	Arrowe Brook
ashbrooke	Ashbrooke	Ashbrooke
atherfield-brook	Atherfield Brook	Atherfield Brook
babingley-river	Babingley River	Babingley River
back-delfin	Back Delfin	Back Delfin
badsey-brook	Badsey Brook	Badsey Brook
bagley-brook	Bagley Brook	Bagley Brook
bagley-dike	Bagley Dike	Bagley Dike
baguley-brook	Baguley Brook	Baguley Brook
baildon-dike	Baildon Dike	Baildon Dike
balne-beck	Balne Beck	Balne Beck
barbourne-brook	Barbourne Brook	Barbourne Brook
bardsey-beck	Bardsey Beck	Bardsey Beck
barge-canal	Barge Canal	Barge Canal
barlings-eau	Barlings Eau	Barlings Eau
barmston-drain	Barmston Drain	Barmston Drain
barnham-rife	Barnham Rife	Barnham Rife
bartley-water	Bartley Water	Bartley Water
barton-haven	Barton Haven	Barton Haven
batley-beck	Batley Beck	Batley Beck
bear-brook	Bear Brook	Bear Brook
beaulieu-river	Beaulieu River	Beaulieu River
bechan-brook	Bechan Brook	Bechan Brook
bedale-beck	Bedale Beck	Bedale Beck
bedburn-beck	Bedburn Beck	Bedburn Beck
beverley-brook	Beverley Brook	Beverley Brook
bickerly-mill-stream	Bickerly Mill Stream	Bickerly Mill Stream
bielby-beck	Bielby Beck	Bielby Beck
billinghay-skirth	Billinghay Skirth	Billinghay Skirth
bin-brook	Bin Brook	Bin Brook
bishop-monkton-beck	Bishop Monkton Beck	Bishop Monkton Beck
black-brook-leicestershire	Black Brook	Black Brook (Leicestershire)
black-brook-yorkshire	Black Brook	Black Brook (Yorkshire)
blackburn-brook	Blackburn Brook	Blackburn Brook
blackfoss-beck	Blackfoss Beck	Blackfoss Beck
blacup-beck	Blacup Beck	Blacup Beck
bloxham-brook	Bloxham Brook	Bloxham Brook
blue-beck	Blue Beck	Blue Beck
bodmin-town-leat	Bodmin Town Leat	Bodmin Town Leat
bolingey-stream	Bolingey Stream	Bolingey Stream
bosham-stream	Bosham Stream	Bosham Stream
bottle-brook	Bottle Brook	Bottle Brook
boundary-brook	Boundary Brook	Boundary Brook
bourn-brook	Bourn Brook	Bourn Brook
bourne-brook	Bourne Brook	Bourne Brook
bourne-rivulet	Bourne Rivulet	Bourne Rivulet
bow-brook	Bow Brook	Bow Brook
bowmont-water	Bowmont Water	Bowmont Water
bradford-beck	Bradford Beck	Bradford Beck
bradiford-water	Bradiford Water	Bradiford Water
bradley-brook	Bradley Brook	Bradley Brook
bramham-beck	Bramham Beck	Bramham Beck
brampton-beck	Brampton Beck	Brampton Beck
brampton-branch	Brampton Branch	Brampton Branch
bridgehouse-beck	Bridgehouse Beck	Bridgehouse Beck
brinkworth-brook	Brinkworth Brook	Brinkworth Brook
brislington-brook	Brislington Brook	Brislington Brook
broad-fleet	Broad Fleet	Broad Fleet
brompton-beck	Brompton Beck	Brompton Beck
brook-dike	Brook Dike	Brook Dike
brough-beck	Brough Beck	Brough Beck
broughton-beck	Broughton Beck	Broughton Beck
broughton-brook	Broughton Brook	Broughton Brook
browney-dyke	Browney Dyke	Browney Dyke
brownwich-stream	Brownwich Stream	Brownwich Stream
buck-beck	Buck Beck	Buck Beck
budleigh-brook	Budleigh Brook	Budleigh Brook
bulstake-stream	Bulstake Stream	Bulstake Stream
bumpstead-brook	Bumpstead Brook	Bumpstead Brook
burn-valley-beck	Burn Valley Beck	Burn Valley Beck
burrow-beck	Burrow Beck	Burrow Beck
burstow-stream	Burstow Stream	Burstow Stream
burstwick-drain	Burstwick Drain	Burstwick Drain
bury-brook	Bury Brook	Bury Brook
bushy-beck	Bushy Beck	Bushy Beck
by-brook	By Brook	By Brook
caker-stream	Caker Stream	Caker Stream
camlad	Camlad	Camlad
candover-stream	Candover Stream	Candover Stream
canley-brook	Canley Brook	Canley Brook
cannington-brook	Cannington Brook	Cannington Brook
cannon-brook	Cannon Brook	Cannon Brook
canons-brook	Canons Brook	Canons Brook
carnon-river	Carnon River	Carnon River
carr-brook	Carr Brook	Carr Brook
catcliffe-drain	Catcliffe Drain	Catcliffe Drain
ceiriog	Ceiriog	Ceiriog
chad-brook	Chad Brook	Chad Brook
chalgrove-brook	Chalgrove Brook	Chalgrove Brook
charlton-brook	Charlton Brook	Charlton Brook
cheddar-yeo	Cheddar Yeo	Cheddar Yeo
cheriton-stream	Cheriton Stream	Cheriton Stream
chew-stoke-brook	Chew Stoke Brook	Chew Stoke Brook
ching-brook	Ching Brook	Ching Brook
chitterne-brook	Chitterne Brook	Chitterne Brook
church-beck	Church Beck	Church Beck
clackers-brook	Clackers Brook	Clackers Brook
clanfield-brook	Clanfield Brook	Clanfield Brook
clay-coton-brook	Clay Coton Brook	Clay Coton Brook
clennon-valley-watercourse	Clennon Valley Watercourse	Clennon Valley Watercourse
clipstone-brook	Clipstone Brook	Clipstone Brook
clow-beck	Clow Beck	Clow Beck
coal-burn	Coal Burn	Coal Burn
coastal-stream	Coastal Stream	Coastal Stream
cobbins-brook	Cobbins Brook	Cobbins Brook
cock-beck	Cock Beck	Cock Beck
cocker-beck	Cocker Beck	Cocker Beck
cockers-dyke	Cockers Dyke	Cockers Dyke
cockshaw-burn	Cockshaw Burn	Cockshaw Burn
cod-beck	Cod Beck	Cod Beck
cole-brook	Cole Brook	Cole Brook
colliters-brook	Colliters Brook	Colliters Brook
colne-brook	Colne Brook	Colne Brook
colne-water	Colne Water	Colne Water
combe-haven	Combe Haven	Combe Haven
coney-gut	Coney Gut	Coney Gut
congresbury-yeo	Congresbury Yeo	Congresbury Yeo
costa-beck	Costa Beck	Costa Beck
cove-brook	Cove Brook	Cove Brook
cragg-brook	Cragg Brook	Cragg Brook
cranleigh-waters	Cranleigh Waters	Cranleigh Waters
cripsey-brook	Cripsey Brook	Cripsey Brook
cuckmere-pevensey-levels	Cuckmere & Pevensey Levels	Cuckmere & Pevensey Levels
cundall-beck	Cundall Beck	Cundall Beck
cunsey-beck	Cunsey Beck	Cunsey Beck
currymoor-drain	Currymoor Drain	Currymoor Drain
dacre-beck	Dacre Beck	Dacre Beck
danes-stream	Danes Stream	Danes Stream
daniels-brook	Daniels Brook	Daniels Brook
dauntsey-brook	Dauntsey Brook	Dauntsey Brook
dawlish-water	Dawlish Water	Dawlish Water
day-brook	Day Brook	Day Brook
de-lank-river	De Lank River	De Lank River
dean	Dean	Dean
dean-bottom-beck	Dean Bottom Beck	Dean Bottom Beck
dean-burn	Dean Burn	Dean Burn
deans-brook	Deans Brook	Deans Brook
dimore-brook	Dimore Brook	Dimore Brook
docken-s-water	Docken's Water	Docken's Water
dollis-brook	Dollis Brook	Dollis Brook
doniford-stream	Doniford Stream	Doniford Stream
dorcan-brook	Dorcan Brook	Dorcan Brook
river-frome-dorset	River Frome	River Frome (Dorset)
dover-beck	Dover Beck	Dover Beck
dovers-brook	Dovers Brook	Dovers Brook
dowles-brook	Dowles Brook	Dowles Brook
dragley-beck	Dragley Beck	Dragley Beck
dulas-brook	Dulas Brook	Dulas Brook
ea-beck	Ea Beck	Ea Beck
eagley-brook	Eagley Brook	Eagley Brook
earby-beck	Earby Beck	Earby Beck
east-clandon-stream	East Clandon Stream	East Clandon Stream
east-dart-river	East Dart River	East Dart River
east-fen-catchwater	East Fen Catchwater	East Fen Catchwater
east-glen-river	East Glen River	East Glen River
east-lyn-river	East Lyn River	East Lyn River
east-okement-river	East Okement River	East Okement River
east-stour-kent	East Stour	East Stour (Kent)
east-wilder-brook	East Wilder Brook	East Wilder Brook
eastburn-beck	Eastburn Beck	Eastburn Beck
eastern-yar	Eastern Yar	Eastern Yar
edgware-brook	Edgware Brook	Edgware Brook
egginton-brook	Egginton Brook	Egginton Brook
eller-beck	Eller Beck	Eller Beck
elvington-beck	Elvington Beck	Elvington Beck
emm-brook	Emm Brook	Emm Brook
emral-brook	Emral Brook	Emral Brook
endon-brook	Endon Brook	Endon Brook
eridge-stream	Eridge Stream	Eridge Stream
ewelme-brook	Ewelme Brook	Ewelme Brook
exminster-marshes	Exminster Marshes	Exminster Marshes
farnley-beck	Farnley Beck	Farnley Beck
fenay-beck	Fenay Beck	Fenay Beck
ferring-rife	Ferring Rife	Ferring Rife
field-drain	Field Drain	Field Drain
finham-brook	Finham Brook	Finham Brook
fishlake-stream	Fishlake Stream	Fishlake Stream
fleet-drain	Fleet Drain	Fleet Drain
flood-channel	Flood Channel	Flood Channel
ford-brook	Ford Brook	Ford Brook
ford-green-brook	Ford Green Brook	Ford Green Brook
ford-stream	Ford Stream	Ford Stream
fosdyke-canal	Fosdyke Canal	Fosdyke Canal
foston-beck	Foston Beck	Foston Beck
foston-brook	Foston Brook	Foston Brook
foudry-brook	Foudry Brook	Foudry Brook
fowlea-brook	Fowlea Brook	Fowlea Brook
fowler-bridge-drain	Fowler Bridge Drain	Fowler Bridge Drain
frays-river	Frays River	Frays River
frodingham-beck	Frodingham Beck	Frodingham Beck
gaddesby-brook	Gaddesby Brook	Gaddesby Brook
gatwick-stream	Gatwick Stream	Gatwick Stream
gauze-brook	Gauze Brook	Gauze Brook
gelyn	Gelyn	Gelyn
gilwiskaw-brook	Gilwiskaw Brook	Gilwiskaw Brook
ginge-brook	Ginge Brook	Ginge Brook
glaze-brook	Glaze Brook	Glaze Brook
glen-stream	Glen Stream	Glen Stream
glenridding-beck	Glenridding Beck	Glenridding Beck
glossop-brook	Glossop Brook	Glossop Brook
gowdall-ings	Gowdall Ings	Gowdall Ings
grace-dieu-brook	Grace Dieu Brook	Grace Dieu Brook
great-stour-kent	Great Stour	Great Stour (Kent)
green-dyke	Green Dyke	Green Dyke
grimescar-dike	Grimescar Dike	Grimescar Dike
gurnard-luck	Gurnard Luck	Gurnard Luck
gwyle	Gwyle	Gwyle
gypsey-race	Gypsey Race	Gypsey Race
hagnaby-beck	Hagnaby Beck	Hagnaby Beck
halford-stream	Halford Stream	Halford Stream
halse-water	Halse Water	Halse Water
harpers-brook	Harpers Brook	Harpers Brook
hart-burn	Hart Burn	Hart Burn
hartburn-beck	Hartburn Beck	Hartburn Beck
harwood-beck	Harwood Beck	Harwood Beck
hatherley-brook	Hatherley Brook	Hatherley Brook
haweswater-beck	Haweswater Beck	Haweswater Beck
hawkcombe-stream	Hawkcombe Stream	Hawkcombe Stream
heacham-river	Heacham River	Heacham River
hebble-brook	Hebble Brook	Hebble Brook
hebden-water	Hebden Water	Hebden Water
heighington-beck	Heighington Beck	Heighington Beck
hele-stream	Hele Stream	Hele Stream
hellifield-beck	Hellifield Beck	Hellifield Beck
henmore-brook	Henmore Brook	Henmore Brook
hermitage-stream	Hermitage Stream	Hermitage Stream
higher-brixham-watercourse	Higher Brixham Watercourse	Higher Brixham Watercourse
hillfarrance-brook	Hillfarrance Brook	Hillfarrance Brook
hilton-brook	Hilton Brook	Hilton Brook
hinksey-stream	Hinksey Stream	Hinksey Stream
hodge-beck	Hodge Beck	Hodge Beck
hoe-stream	Hoe Stream	Hoe Stream
hogsmill-river	Hogsmill River	Hogsmill River
hol-beck	Hol Beck	Hol Beck
holderness-drain	Holderness Drain	Holderness Drain
holgate-beck	Holgate Beck	Holgate Beck
holme-brook	Holme Brook	Holme Brook
honddu	Honddu	Honddu
horner-water	Horner Water	Horner Water
horsbere-brook	Horsbere Brook	Horsbere Brook
hovingham-beck	Hovingham Beck	Hovingham Beck
hughenden-stream	Hughenden Stream	Hughenden Stream
huish-level-rhyne	Huish Level Rhyne	Huish Level Rhyne
huntingfield-watercourse	Huntingfield Watercourse	Huntingfield Watercourse
ifield-brook	Ifield Brook	Ifield Brook
illey-brook	Illey Brook	Illey Brook
ings-beck	Ings Beck	Ings Beck
irfon	Irfon	Irfon
ithon	Ithon	Ithon
jubilee-river	Jubilee River	Jubilee River
kelbrook-beck	Kelbrook Beck	Kelbrook Beck
kenwith-stream	Kenwith Stream	Kenwith Stream
kielder-burn	Kielder Burn	Kielder Burn
killhope-burn	Killhope Burn	Killhope Burn
kilton-beck	Kilton Beck	Kilton Beck
kingsbridge-north-watercourse	Kingsbridge North Watercourse	Kingsbridge North Watercourse
kingsclere-brook	Kingsclere Brook	Kingsclere Brook
knoll-beck	Knoll Beck	Knoll Beck
knowle-stream	Knowle Stream	Knowle Stream
kyd-brook	Kyd Brook	Kyd Brook
kyd-brook-east-branch	Kyd Brook (East Branch)	Kyd Brook (East Branch)
kyre-brook	Kyre Brook	Kyre Brook
laceby-beck	Laceby Beck	Laceby Beck
landkey-brook	Landkey Brook	Landkey Brook
lands-beck	Lands Beck	Lands Beck
langford-brook	Langford Brook	Langford Brook
lariggan-river	Lariggan River	Lariggan River
law-brook	Law Brook	Law Brook
ledwyche-brook	Ledwyche Brook	Ledwyche Brook
leigh-brook	Leigh Brook	Leigh Brook
letcombe-brook	Letcombe Brook	Letcombe Brook
levisham-beck	Levisham Beck	Levisham Beck
lilley-brook	Lilley Brook	Lilley Brook
limey-water	Limey Water	Limey Water
little-avon-river	Little Avon River	Little Avon River
little-dart-river	Little Dart River	Little Dart River
little-salt-moor-rhyne	Little Salt Moor Rhyne	Little Salt Moor Rhyne
little-stour	Little Stour	Little Stour
littlemead-brook	Littlemead Brook	Littlemead Brook
litton-cheney-stream	Litton Cheney Stream	Litton Cheney Stream
lledan-brook	Lledan Brook	Lledan Brook
llynfi	Llynfi	Llynfi
lochinvar-beck	Lochinvar Beck	Lochinvar Beck
long-brook	Long brook	Long brook
longload-main-drain	Longload Main Drain	Longload Main Drain
longwood-brook	Longwood Brook	Longwood Brook
low-moor-beck	Low Moor Beck	Low Moor Beck
lukely-brook	Lukely Brook	Lukely Brook
lustrum-beck	Lustrum Beck	Lustrum Beck
lyme-brook	Lyme Brook	Lyme Brook
lymington	Lymington	Lymington
maidenhead-ditch	Maidenhead Ditch	Maidenhead Ditch
manacan-river	Manacan River	Manacan River
mangerton-brook	Mangerton Brook	Mangerton Brook
marchington-brook	Marchington Brook	Marchington Brook
marsh-water	Marsh Water	Marsh Water
marston-meysey-brook	Marston Meysey Brook	Marston Meysey Brook
marton-west-beck	Marton West Beck	Marton West Beck
maud-foster-stonebridge-drain	Maud Foster/Stonebridge Drain	Maud Foster/Stonebridge Drain
meadlake-ditch	Meadlake Ditch	Meadlake Ditch
meanwood-beck	Meanwood Beck	Meanwood Beck
mearley-brook	Mearley Brook	Mearley Brook
medbourne-brook	Medbourne Brook	Medbourne Brook
meece-brook	Meece Brook	Meece Brook
meers-brook	Meers Brook	Meers Brook
mells-river	Mells River	Mells River
merrow-common-stream	Merrow Common Stream	Merrow Common Stream
mevagissey-stream	Mevagissey Stream	Mevagissey Stream
mickley-dyke	Mickley Dyke	Mickley Dyke
midford-brook	Midford Brook	Midford Brook
mill-beck-back-delphin	Mill Beck	Mill Beck (Back Delphin)
mill-beck-derwent	Mill Beck	Mill Beck (Derwent)
mill-bourne	Mill Bourne	Mill Bourne
mill-brook-devon	Mill Brook	Mill Brook (Devon)
mill-brook-herefordshire	Mill Brook	Mill Brook (Herefordshire)
mill-brook-oxfordshire	Mill Brook	Mill Brook (Oxfordshire)
mimmshall-brook	Mimmshall Brook	Mimmshall Brook
mires-beck	Mires Beck	Mires Beck
monk-dyke	Monk Dyke	Monk Dyke
monks-brook	Monks Brook	Monks Brook
monksilver-stream	Monksilver Stream	Monksilver Stream
monktonmead-brook	Monktonmead Brook	Monktonmead Brook
monnow	Monnow	Monnow
moors-burn	Moors Burn	Moors Burn
moors-river	Moors River	Moors River
mutton-brook	Mutton Brook	Mutton Brook
nailbourne	Nailbourne	Nailbourne
nazeing-brook	Nazeing Brook	Nazeing Brook
netherley-brook	Netherley Brook	Netherley Brook
nettleham-beck	Nettleham Beck	Nettleham Beck
new-cut	New Cut	New Cut
norbury-brook	Norbury Brook	Norbury Brook
north-drain	North Drain	North Drain
northmoor-main-drain	Northmoor Main Drain	Northmoor Main Drain
nunney-brook	Nunney Brook	Nunney Brook
oakenshaw-beck	Oakenshaw Beck	Oakenshaw Beck
oakington-brook	Oakington Brook	Oakington Brook
oakley-cross-beck	Oakley Cross Beck	Oakley Cross Beck
ogden-brook	Ogden Brook	Ogden Brook
oil-mill-beck	Oil Mill Beck	Oil Mill Beck
old-bedford-river	Old Bedford River	Old Bedford River
old-mill-stream	Old Mill Stream	Old Mill Stream
oldbury-naite-rhyne	Oldbury Naite Rhyne	Oldbury Naite Rhyne
ormesby-beck	Ormesby Beck	Ormesby Beck
otterton-brook	Otterton Brook	Otterton Brook
oulton-beck	Oulton Beck	Oulton Beck
ouse-burn	Ouse Burn	Ouse Burn
ouse-dyke	Ouse Dyke	Ouse Dyke
ousemere-lode	Ousemere Lode	Ousemere Lode
oxlease-drain	Oxlease Drain	Oxlease Drain
par-river	Par River	Par River
parham-beck	Parham Beck	Parham Beck
pearl-brook	Pearl Brook	Pearl Brook
penberth-stream	Penberth Stream	Penberth Stream
pendle-water	Pendle Water	Pendle Water
pent-stream	Pent Stream	Pent Stream
perrancombe-stream	Perrancombe Stream	Perrancombe Stream
petersfield-stream	Petersfield Stream	Petersfield Stream
petty-s-brook	Petty's Brook	Petty's Brook
pickering-beck	Pickering Beck	Pickering Beck
picknall-brook	Picknall Brook	Picknall Brook
piddle-brook	Piddle Brook	Piddle Brook
pillhill-brook	Pillhill Brook	Pillhill Brook
pimlico-brook	Pimlico Brook	Pimlico Brook
pincey-brook	Pincey Brook	Pincey Brook
pishiobury-brook	Pishiobury Brook	Pishiobury Brook
pocklington-beck	Pocklington Beck	Pocklington Beck
pointon-lode	Pointon Lode	Pointon Lode
porter-brook	Porter Brook	Porter Brook
poyle-channel	Poyle Channel	Poyle Channel
poynton-brook	Poynton Brook	Poynton Brook
praze-stream	Praze Stream	Praze Stream
priorpot-beck	Priorpot Beck	Priorpot Beck
pyl-brook	Pyl Brook	Pyl Brook
pymmes-brook	Pymmes Brook	Pymmes Brook
quy-water	Quy Water	Quy Water
radlett-brook	Radlett Brook	Radlett Brook
rags-brook	Rags Brook	Rags Brook
rattlesden-river	Rattlesden River	Rattlesden River
rea-brook	Rea Brook	Rea Brook
red-cornwall	Red	Red (Cornwall)
red-hertfordshire	Red	Red (Hertfordshire)
redhill-brook	Redhill Brook	Redhill Brook
ridings-brook	Ridings Brook	Ridings Brook
rising-brook	Rising Brook	Rising Brook
river-adur	River Adur	River Adur
river-aire	River Aire	River Aire
river-alde	River Alde	River Alde
river-allen-cornwall-north	River Allen	River Allen (Cornwall North)
river-allen-cornwall-south	River Allen	River Allen (Cornwall South)
river-allen-dorset	River Allen	River Allen (Dorset)
river-aller	River Aller	River Aller
river-alne	River Alne	River Alne
river-alre	River Alre	River Alre
river-alt	River Alt	River Alt
river-alver	River Alver	River Alver
river-amber	River Amber	River Amber
river-ancholme	River Ancholme	River Ancholme
river-anker	River Anker	River Anker
river-ant	River Ant	River Ant
river-anton	River Anton	River Anton
river-arrow-herefordshire	River Arrow	River Arrow (Herefordshire)
river-arrow-warwickshire	River Arrow	River Arrow (Warwickshire)
river-arun	River Arun	River Arun
river-ash-hertfordshire	River Ash	River Ash (Hertfordshire)
river-ash-middlesex	River Ash	River Ash (Middlesex)
river-ashburn	River Ashburn	River Ashburn
river-asker	River Asker	River Asker
river-avon-bristol	River Avon	River Avon (Bristol)
river-avon-corsham	River Avon	River Avon (Corsham)
river-avon-devon	River Avon	River Avon (Devon)
river-avon-hampshire	River Avon	River Avon (Hampshire)
river-avon-warwickshire	River Avon	River Avon (Warwickshire)
river-axe-devon	River Axe	River Axe (Devon)
river-axe-somerset	River Axe	River Axe (Somerset)
river-bain	River Bain	River Bain
river-banwy	River Banwy	River Banwy
river-barle	River Barle	River Barle
river-batherm	River Batherm	River Batherm
river-beal	River Beal	River Beal
river-beam	River Beam	River Beam
river-beane	River Beane	River Beane
river-beult	River Beult	River Beult
river-bela	River Bela	River Bela
river-birket	River Birket	River Birket
river-biss	River Biss	River Biss
river-blackwater-essex	River Blackwater	River Blackwater (Essex)
river-blackwater-loddon	River Blackwater	River Blackwater (Loddon)
river-blackwater-new-forest	River Blackwate	River Blackwater (New Forest)
river-blakewater	River Blakewater	River Blakewater
river-blithe	River Blithe	River Blithe
river-blyth	River Blyth	River Blyth
river-blythe	River Blythe	River Blythe
river-bollin	River Bollin	River Bollin
river-bourne-addlestone	River Bourne	River Bourne (Addlestone)
river-bourne-chertsey	River Bourne	River Bourne (Chertsey)
river-bourne-kent	River Bourne	River Bourne (Kent)
river-bourne-wiltshire	River Bourne	River Bourne (Wiltshire)
river-bovey	River Bovey	River Bovey
river-bovey-wifford-tributary	River Bovey Wifford Tributary	River Bovey Wifford Tributary
river-box	River Box	River Box
river-boyd	River Boyd	River Boyd
river-brain	River Brain	River Brain
river-brant	River Brant	River Brant
river-brathay	River Brathay	River Brathay
river-bray	River Bray	River Bray
river-brede	River Brede	River Brede
river-brent	River Brent	River Brent
river-brett	River Brett	River Brett
river-bride	River Bride	River Bride
river-brit	River Brit	River Brit
river-brock	River Brock	River Brock
river-browney	River Browney	River Browney
river-brue	River Brue	River Brue
river-brun	River Brun	River Brun
river-bulbourne	River Bulbourne	River Bulbourne
river-bull	River Bull	River Bull
river-bure	River Bure	River Bure
river-burn	River Burn	River Burn
river-dudwell	River Dudwell	River Dudwell
river-caen	River Caen	River Caen
river-cain	River Cain	River Cain
river-calder-cumbria	River Calder	River Calder (Cumbria)
river-calder-lancashire	River Calder	River Calder (Lancashire)
river-calder-yorkshire	River Calder	River Calder (Yorkshire)
river-caldew	River Caldew	River Caldew
river-cale	River Cale	River Cale
river-cam-cambridgeshire	River Cam	River Cam (Cambridgeshire)
river-cam-severn	River Cam	River Cam (Severn)
river-cam-somerset	River Cam	River Cam (Somerset)
river-camel	River Camel	River Camel
river-can	River Can	River Can
river-char	River Char	River Char
river-chater	River Chater	River Chater
river-chelmer	River Chelmer	River Chelmer
river-chelt	River Chelt	River Chelt
river-cherwell	River Cherwell	River Cherwell
river-chess	River Chess	River Chess
river-chew	River Chew	River Chew
river-churn	River Churn	River Churn
river-churnet	River Churnet	River Churnet
river-clyst	River Clyst	River Clyst
river-clyst-clyst-st-mary-tributary	River Clyst, Clyst St Mary Tributary	River Clyst, Clyst St Mary Tributary
river-clywedog	River Clywedog	River Clywedog
river-cober	River Cober	River Cober
river-cocker	River Cocker	River Cocker
river-cole-staffordshire	River Cole	River Cole (Staffordshire)
river-cole-wiltshire	River Cole	River Cole (Wiltshire)
river-coln	River Coln	River Coln
river-colne-essex	River Colne	River Colne (Essex)
river-colne-hertfordshire	River Colne	River Colne (Hertfordshire)
river-colne-yorkshire	River Colne	River Colne (Yorkshire)
river-coly	River Coly	River Coly
river-conder	River Conder	River Conder
river-coquet	River Coquet	River Coquet
river-corve	River Corve	River Corve
river-crake	River Crake	River Crake
river-crane	River Crane	River Crane
river-cray	River Cray	River Cray
river-creedy	River Creedy	River Creedy
river-crimple	River Crimple	River Crimple
river-croal	River Croal	River Croal
river-crouch	River Crouch	River Crouch
river-cuckmere	River Cuckmere	River Cuckmere
river-culm	River Culm	River Culm
river-dane	River Dane	River Dane
river-darent	River Darent	River Darent
river-dart	River Dart	River Dart
river-darwen	River Darwen	River Darwen
river-dearne	River Dearne	River Dearne
river-deben	River Deben	River Deben
river-dee	River Dee	River Dee
river-dene-gloucestershire	River Dene	River Dene (Gloucestershire)
river-dene-warwickshire	River Dene	River Dene (Warwickshire)
river-derwent-cumbria	River Derwent	River Derwent (Cumbria)
river-derwent-derbyshire	River Derwent	River Derwent (Derbyshire)
river-derwent-northumberland	River Derwent	River Derwent (Northumberland)
river-derwent-yorkshire	River Derwent	River Derwent (Yorkshire)
river-dever	River Dever	River Dever
river-devon	River Devon	River Devon
river-dikler	River Dikler	River Dikler
river-doe-lea	River Doe Lea	River Doe Lea
river-don	River Don	River Don
river-dore	River Dore	River Dore
river-douglas	River Douglas	River Douglas
river-dour	River Dour	River Dour
