slug	local_name	qualified_name
river-dove-north-yorkshire	River Dove	River Dove (North Yorkshire)
river-dove-south-yorkshire	River Dove	River Dove (South Yorkshire)
river-dove-staffordshire	River Dove	River Dove (Staffordshire)
river-drone	River Drone	River Drone
river-duddon	River Duddon	River Duddon
river-darwell	River Darwell	River Darwell
river-dulas	River Dulas	River Dulas
river-dun-berkshire	River Dun	River Dun (Berkshire)
river-dun-hampshire	River Dun	River Dun (Hampshire)
river-eamont	River Eamont	River Eamont
river-east-allen	River East Allen	River East Allen
river-eau	River Eau	River Eau
river-ebble	River Ebble	River Ebble
river-ecclesbourne	River Ecclesbourne	River Ecclesbourne
river-eden-cumbria	River Eden	River Eden (Cumbria)
river-eden-kent	River Eden	River Eden (Kent)
river-ehen	River Ehen	River Ehen
river-elan	River Elan	River Elan
river-ellen	River Ellen	River Ellen
river-ems	River Ems	River Ems
river-enborne	River Enborne	River Enborne
river-erewash	River Erewash	River Erewash
river-erme	River Erme	River Erme
river-esk-north-cumbria	River Esk	River Esk (North Cumbria)
river-esk-west-cumbria	River Esk	River Esk (West Cumbria)
river-esk-yorkshire	River Esk	River Esk (Yorkshire)
river-etherow	River Etherow	River Etherow
river-evenlode	River Evenlode	River Evenlode
river-exe	River Exe	River Exe
river-fal	River Fal	River Fal
river-flit	River Flit	River Flit
river-font	River Font	River Font
river-foss	River Foss	River Foss
river-foulness	River Foulness	River Foulness
river-fowey	River Fowey	River Fowey
river-frome-bristol	River Frome	River Frome (Bristol)
river-frome-severn	River Frome	River Frome (Severn)
river-frome-wye	River Frome	River Frome (Wye)
river-fromus	River Fromus	River Fromus
river-gade	River Gade	River Gade
river-gannel	River Gannel	River Gannel
river-gaunless	River Gaunless	River Gaunless
river-gelt	River Gelt	River Gelt
river-gipping	River Gipping	River Gipping
river-glem	River Glem	River Glem
river-glen	River Glen	River Glen
river-glenderamackin	River Glenderamackin	River Glenderamackin
river-glyme	River Glyme	River Glyme
river-gowan	River Gowan	River Gowan
river-gowy	River Gowy	River Gowy
river-goyt	River Goyt	River Goyt
river-granta	River Granta	River Granta
river-graveney	River Graveney	River Graveney
river-great-ouse	River Great Ouse	River Great Ouse
river-greet	River Greet	River Greet
river-greta-cumbria	River Greta	River Greta (Cumbria)
river-greta-durham	River Greta	River Greta (Durham)
river-haddeo	River Haddeo	River Haddeo
river-hamble	River Hamble	River Hamble
river-hamps	River Hamps	River Hamps
river-harbourne	River Harbourne	River Harbourne
river-harbourne-harbertonford-tributary	River Harbourne, Harbertonford Tributary	River Harbourne, Harbertonford Tributary
river-hart	River Hart	River Hart
river-hayle	River Hayle	River Hayle
river-hindburn	River Hindburn	River Hindburn
river-hipper	River Hipper	River Hipper
river-hiz	River Hiz	River Hiz
river-hodder	River Hodder	River Hodder
river-holme	River Holme	River Holme
river-hooke	River Hooke	River Hooke
river-hull	River Hull	River Hull
river-hyndburn	River Hyndburn	River Hyndburn
river-idle	River Idle	River Idle
river-ingrebourne	River Ingrebourne	River Ingrebourne
river-inny	River Inny	River Inny
river-irk	River Irk	River Irk
river-irt	River Irt	River Irt
river-irthing	River Irthing	River Irthing
river-irwell	River Irwell	River Irwell
river-isbourne	River Isbourne	River Isbourne
river-ise	River Ise	River Ise
river-isle	River Isle	River Isle
river-itchen-hampshire	River Itchen	River Itchen (Hampshire)
river-itchen-warwickshire	River Itchen	River Itchen (Warwickshire)
river-ivel	River Ivel	River Ivel
river-jordan	River Jordan	River Jordan
river-keekle	River Keekle	River Keekle
river-keer	River Keer	River Keer
river-kenn-tributary	River Kenn Tributary	River Kenn Tributary
river-kennall	River Kennall	River Kennall
river-kennet	River Kennet	River Kennet
river-kennett	River Kennett	River Kennett
river-kensey	River Kensey	River Kensey
river-kent	River Kent	River Kent
river-kenwyn	River Kenwyn	River Kenwyn
river-key	River Key	River Key
river-kyle	River Kyle	River Kyle
river-kym	River Kym	River Kym
river-lambourn	River Lambourn	River Lambourn
river-lark	River Lark	River Lark
river-lavant-hampshire	River Lavant	River Lavant (Hampshire)
river-lavant-sussex	River Lavant	River Lavant (Sussex)
river-laver	River Laver	River Laver
river-lee	River Lee	River Lee
river-leach	River Leach	River Leach
river-leadon	River Leadon	River Leadon
river-leam	River Leam	River Leam
river-leen	River Leen	River Leen
river-lemon	River Lemon	River Lemon
river-leven-cumbria	River Leven	River Leven (Cumbria)
river-leven-yorkshire	River Leven	River Leven (Yorkshire)
river-lew	River Lew	River Lew
river-lim	River Lim	River Lim
river-lin	River Lin	River Lin
river-little-ouse	River Little Ouse	River Little Ouse
river-lod	River Lod	River Lod
river-loddon	River Loddon	River Loddon
river-lostock	River Lostock	River Lostock
river-lowman	River Lowman	River Lowman
river-lowther	River Lowther	River Lowther
river-lox	River Lox	River Lox
river-loxley	River Loxley	River Loxley
river-lud	River Lud	River Lud
river-lugg	River Lugg	River Lugg
river-lune	River Lune	River Lune
river-lyd-devon	River Lyd	River Lyd (Devon)
river-lyd-gloucestershire	River Lyd	River Lyd (Gloucestershire)
river-lydden	River Lydden	River Lydden
river-lymn	River Lymn	River Lymn
river-lynher	River Lynher	River Lynher
river-manifold	River Manifold	River Manifold
river-marden	River Marden	River Marden
river-mardle	River Mardle	River Mardle
river-maun	River Maun	River Maun
river-mease	River Mease	River Mease
river-meden	River Meden	River Meden
river-medina	River Medina	River Medina
river-medlock	River Medlock	River Medlock
river-medway	River Medway	River Medway
river-meese	River Meese	River Meese
river-meon	River Meon	River Meon
river-mersey	River Mersey	River Mersey
river-mimram	River Mimram	River Mimram
river-mint	River Mint	River Mint
river-misbourne	River Misbourne	River Misbourne
river-mole-devon	River Mole	River Mole (Devon)
river-mole-surrey	River Mole	River Mole (Surrey)
river-nadder	River Nadder	River Nadder
river-nar	River Nar	River Nar
river-neet	River Neet	River Neet
river-nene	River Nene	River Nene
river-nidd	River Nidd	River Nidd
river-north-lew	River North Lew	River North Lew
river-north-tyne	River North Tyne	River North Tyne
river-ock	River Ock	River Ock
river-og	River Og	River Og
river-okement	River Okement	River Okement
river-onny	River Onny	River Onny
river-ore	River Ore	River Ore
river-otter	River Otter	River Otter
river-ottery	River Ottery	River Ottery
river-ouse-sussex	River Ouse	River Ouse (Sussex)
river-ouse-yorkshire	River Ouse	River Ouse (Yorkshire)
river-ouzel	River Ouzel	River Ouzel
river-pang	River Pang	River Pang
river-pant	River Pant	River Pant
river-parrett	River Parrett	River Parrett
river-penk	River Penk	River Penk
river-perry	River Perry	River Perry
river-petteril	River Petteril	River Petteril
river-piddle	River Piddle	River Piddle
river-pinn	River Pinn	River Pinn
river-plym	River Plym	River Plym
river-pol	River Pol	River Pol
river-pont	River Pont	River Pont
river-pool	River Pool	River Pool
river-poulter	River Poulter	River Poulter
river-quaggy	River Quaggy	River Quaggy
river-quin	River Quin	River Quin
river-rase	River Rase	River Rase
river-ravensbourne	River Ravensbourne	River Ravensbourne
river-ravensbourne-east-branch	River Ravensbourne (East branch)	River Ravensbourne (East branch)
river-rawthey	River Rawthey	River Rawthey
river-ray	River Ray	River Ray
river-rea-shropshire	River Rea	River Rea (Shropshire)
river-rea-west-midlands	River Rea	River Rea (West Midlands)
river-rede	River Rede	River Rede
river-rhee	River Rhee	River Rhee
river-rib	River Rib	River Rib
river-ribble	River Ribble	River Ribble
river-riccal	River Riccal	River Riccal
river-roch	River Roch	River Roch
river-roden	River Roden	River Roden
river-roding	River Roding	River Roding
river-rom	River Rom	River Rom
river-rothay	River Rothay	River Rothay
river-rother-kent	River Rother	River Rother (Kent)
river-rother-sussex	River Rother	River Rother (Sussex)
river-rother-yorkshire	River Rother	River Rother (Yorkshire)
river-ryburn	River Ryburn	River Ryburn
river-rye	River Rye	River Rye
river-ryton	River Ryton	River Ryton
river-salwarpe	River Salwarpe	River Salwarpe
river-seaton	River Seaton	River Seaton
river-sence-leicestershire	River Sence	River Sence (Leicestershire)
river-sence-west-leicestershire	River Sence	River Sence (West Leicestershire)
river-seven	River Seven	River Seven
river-severn	River Severn	River Severn
river-shalbourne	River Shalbourne	River Shalbourne
river-sheaf	River Sheaf	River Sheaf
river-sheppey	River Sheppey	River Sheppey
river-sherbourne	River Sherbourne	River Sherbourne
river-shuttle	River Shuttle	River Shuttle
river-sid	River Sid	River Sid
river-skell	River Skell	River Skell
river-skerne	River Skerne	River Skerne
river-slea	River Slea	River Slea
river-smite	River Smite	River Smite
river-snail	River Snail	River Snail
river-soar	River Soar	River Soar
river-south-tyne	River South Tyne	River South Tyne
river-sow	River Sow	River Sow
river-sowe	River Sowe	River Sowe
river-sowy	River Sowy	River Sowy
river-sprint	River Sprint	River Sprint
river-steeping	River Steeping	River Steeping
river-stennack	River Stennack	River Stennack
river-stert	River Stert	River Stert
river-stiffkey	River Stiffkey	River Stiffkey
river-stort	River Stort	River Stort
river-stour-dorset	River Stour	River Stour (Dorset)
river-stour-essex	River Stour	River Stour (Essex)
river-stour-warwickshire	River Stour	River Stour (Warwickshire)
river-stour-worcestershire	River Stour	River Stour (Worcestershire)
river-strat	River Strat	River Strat
river-strine	River Strine	River Strine
river-swale	River Swale	River Swale
river-swarbourne	River Swarbourne	River Swarbourne
river-swift-hampshire	River Swift	River Swift (Hampshire)
river-swift-warwickshire	River Swift	River Swift (Warwickshire)
river-tale	River Tale	River Tale
river-tamar	River Tamar	River Tamar
river-tame-greater-manchester	River Tame	River Tame (Greater Manchester)
river-tame-west-midlands	River Tame	River Tame (West Midlands)
river-tanat	River Tanat	River Tanat
river-tavy	River Tavy	River Tavy
river-taw	River Taw	River Taw
river-team	River Team	River Team
river-tean	River Tean	River Tean
river-tees	River Tees	River Tees
river-teign	River Teign	River Teign
river-teise	River Teise	River Teise
river-teme	River Teme	River Teme
river-tern	River Tern	River Tern
river-test	River Test	River Test
river-thame	River Thame	River Thame
river-thames	River Thames	River Thames
river-thet	River Thet	River Thet
river-thrushel	River Thrushel	River Thrushel
river-thurne	River Thurne	River Thurne
river-tiddy	River Tiddy	River Tiddy
river-till-lincolnshire	River Till	River Till (Lincolnshire)
river-till-northumberland	River Till	River Till (Northumberland)
river-tillingbourne	River Tillingbourne	River Tillingbourne
river-tillingham	River Tillingham	River Tillingham
river-tone	River Tone	River Tone
river-torridge	River Torridge	River Torridge
river-tove	River Tove	River Tove
river-trent	River Trent	River Trent
river-tud	River Tud	River Tud
river-tutt	River Tutt	River Tutt
river-tweed	River Tweed	River Tweed
river-twyver	River Twyver	River Twyver
river-tyne	River Tyne	River Tyne
river-uck	River Uck	River Uck
river-umber	River Umber	River Umber
river-ure	River Ure	River Ure
river-valency	River Valency	River Valency
river-ver	River Ver	River Ver
river-vyrnwy	River Vyrnwy	River Vyrnwy
river-waldon	River Waldon	River Waldon
river-walkham	River Walkham	River Walkham
river-wallington-cambridgeshire	River Wallington	River Wallington (Cambridgeshire)
river-wallington-hampshire	River Wallington	River Wallington (Hampshire)
river-wandle	River Wandle	River Wandle
river-wansbeck	River Wansbeck	River Wansbeck
river-waring	River Waring	River Waring
river-waveney	River Waveney	River Waveney
river-wear	River Wear	River Wear
river-weaver	River Weaver	River Weaver
river-welland	River Welland	River Welland
river-wenning	River Wenning	River Wenning
river-wensum	River Wensum	River Wensum
river-went	River Went	River Went
river-west-allen	River West Allen	River West Allen
river-wey-dorset	River Wey	River Wey (Dorset)
river-wey-surrey	River Wey	River Wey (Surrey)
river-wharfe	River Wharfe	River Wharfe
river-whitewater	River Whitewater	River Whitewater
river-whitting	River Whitting	River Whitting
river-whittle	River Whittle	River Whittle
river-wid	River Wid	River Wid
river-windrush	River Windrush	River Windrush
river-winterbourne	River Winterbourne	River Winterbourne
river-wiske	River Wiske	River Wiske
river-wissey	River Wissey	River Wissey
river-witham	River Witham	River Witham
river-wolf	River Wolf	River Wolf
river-worfe	River Worfe	River Worfe
river-worth	River Worth	River Worth
river-wreake	River Wreake	River Wreake
river-wriggle	River Wriggle	River Wriggle
river-wye	River Wye	River Wye
river-wye-buckinghamshire	River Wye	River Wye (Buckinghamshire)
river-wye-derbyshire	River Wye	River Wye (Derbyshire)
river-wylye	River Wylye	River Wylye
river-wyre	River Wyre	River Wyre
river-yare	River Yare	River Yare
river-yarrow	River Yarrow	River Yarrow
river-yarty	River Yarty	River Yarty
river-yealm	River Yealm	River Yealm
river-yeo-creedy	River Yeo	River Yeo (Creedy)
river-yeo-lapford	River Yeo	River Yeo (Lapford)
river-yeo-somerset	River Yeo	River Yeo (Somerset)
roall-dyke	Roall Dyke	Roall Dyke
roe-beck	Roe Beck	Roe Beck
rolleston-brook	Rolleston Brook	Rolleston Brook
rookhope-burn	Rookhope Burn	Rookhope Burn
rothley-brook	Rothley Brook	Rothley Brook
rudhall-brook	Rudhall Brook	Rudhall Brook
ruskington-beck	Ruskington Beck	Ruskington Beck
rye-meads-effluent-channel	Rye Meads Effluent Channel	Rye Meads Effluent Channel
sabden-brook	Sabden Brook	Sabden Brook
salfords-stream-kent	Salfords Stream	Salfords Stream (Kent)
salfords-stream-sussex	Salfords Stream	Salfords Stream (Sussex)
salmon-brook	Salmon Brook	Salmon Brook
salt-haven	Salt Haven	Salt Haven
sampford-brett-stream	Sampford Brett Stream	Sampford Brett Stream
sandon-brook	Sandon Brook	Sandon Brook
sandy-brook	Sandy Brook	Sandy Brook
sandyford-brook	Sandyford Brook	Sandyford Brook
sankey-brook	Sankey Brook	Sankey Brook
saredon-brook	Saredon Brook	Saredon Brook
scurf-dyke	Scurf Dyke	Scurf Dyke
sea-cut	Sea Cut	Sea Cut
seacourt-stream	Seacourt Stream	Seacourt Stream
selby-dam	Selby Dam	Selby Dam
semington-brook	Semington Brook	Semington Brook
setting-dyke	Setting Dyke	Setting Dyke
shaw-brook-tributary	Shaw Brook Tributary	Shaw Brook Tributary
sherston-avon	Sherston Avon	Sherston Avon
shill-brook	Shill Brook	Shill Brook
shreen-water	Shreen Water	Shreen Water
shutterton-brook	Shutterton Brook	Shutterton Brook
silk-stream	Silk Stream	Silk Stream
silsden-beck	Silsden Beck	Silsden Beck
sincil-dyke	Sincil Dyke	Sincil Dyke
sinderland-brook	Sinderland Brook	Sinderland Brook
skeffling-drain	Skeffling Drain	Skeffling Drain
skirting-beck	Skirting Beck	Skirting Beck
slad-brook	Slad Brook	Slad Brook
smallhope-burn	Smallhope Burn	Smallhope Burn
smestow-brook	Smestow Brook	Smestow Brook
snaith-ings	Snaith Ings	Snaith Ings
snaizeholme-beck	Snaizeholme Beck	Snaizeholme Beck
somborne-stream	Somborne Stream	Somborne Stream
river-frome-somerset	River Frome	River Frome (Somerset)
sor-brook	Sor Brook	Sor Brook
sour-beck	Sour Beck	Sour Beck
south-brook	South Brook	South Brook
south-cave-beck	South Cave Beck	South Cave Beck
south-forty-foot-drain	South Forty Foot Drain	South Forty Foot Drain
southcourt-brook	Southcourt Brook	Southcourt Brook
spen-beck	Spen Beck	Spen Beck
spratford-stream	Spratford Stream	Spratford Stream
spring-brook	Spring Brook	Spring Brook
st-austell-river	St Austell River	St Austell River
st-blazey-stream	St Blazey Stream	St Blazey Stream
st-james-stream	St James Stream	St James Stream
st-johns-beck	St Johns Beck	St Johns Beck
st-neot-river	St Neot River	St Neot River
stainfield-beck	Stainfield Beck	Stainfield Beck
stansted-brook	Stansted Brook	Stansted Brook
stevenage-brook	Stevenage Brook	Stevenage Brook
stock-beck	Stock Beck	Stock Beck
stock-ghyll	Stock Ghyll	Stock Ghyll
stonham-watercourse	Stonham Watercourse	Stonham Watercourse
stour-brook	Stour Brook	Stour Brook
sud-brook	Sud Brook	Sud Brook
sulham-brook	Sulham Brook	Sulham Brook
sutton-beck	Sutton Beck	Sutton Beck
swalecliffe-brook	Swalecliffe Brook	Swalecliffe Brook
swan-brook	Swan Brook	Swan Brook
swavesey-drain	Swavesey Drain	Swavesey Drain
swill-brook	Swill Brook	Swill Brook
swinney-beck	Swinney Beck	Swinney Beck
syd-brook	Syd Brook	Syd Brook
sydling-water	Sydling Water	Sydling Water
tadburn-lake	Tadburn Lake	Tadburn Lake
tang-hall-beck	Tang Hall Beck	Tang Hall Beck
tanners-brook	Tanners Brook	Tanners Brook
tetbury-avon	Tetbury Avon	Tetbury Avon
thacka-beck	Thacka Beck	Thacka Beck
the-beck	The Beck	The Beck
the-cut	The Cut	The Cut
the-fleet	The Fleet	The Fleet
the-gissage	The Gissage	The Gissage
the-moss	The Moss	The Moss
the-porter-river	The Porter River	The Porter River
the-roxbourne	The Roxbourne	The Roxbourne
theobalds-brook	Theobalds Brook	Theobalds Brook
thorngumbald-drain	Thorngumbald Drain	Thorngumbald Drain
thornton-beck	Thornton Beck	Thornton Beck
tory-brook	Tory Brook	Tory Brook
town-beck	Town Beck	Town Beck
trawden-brook	Trawden Brook	Trawden Brook
tresillian-river	Tresillian River	Tresillian River
trothy	Trothy	Trothy
trout-beck-east-cumbria	Trout Beck	Trout Beck (East Cumbria)
trout-beck-lake-district	Trout Beck	Trout Beck (Lake District)
trout-beck-northumberland	Trout Beck	Trout Beck (Northumberland)
tryweryn	Tryweryn	Tryweryn
turkey-brook	Turkey Brook	Turkey Brook
twin	Twin	Twin
ulley-brook	Ulley Brook	Ulley Brook
ullswater	Ullswater	Ullswater
umborne-brook	Umborne Brook	Umborne Brook
usway-burn	Usway Burn	Usway Burn
valley-brook	Valley Brook	Valley Brook
waithe-beck	Waithe Beck	Waithe Beck
walkford-brook	Walkford Brook	Walkford Brook
waller-hill-beck	Waller Hill Beck	Waller Hill Beck
wallop-brook	Wallop Brook	Wallop Brook
walsden-water	Walsden Water	Walsden Water
waren-burn	Waren Burn	Waren Burn
warleggan-river	Warleggan River	Warleggan River
wash-dike	Wash Dike	Wash Dike
washford-river	Washford River	Washford River
washpit-brook	Washpit Brook	Washpit Brook
wealdstone-brook	Wealdstone Brook	Wealdstone Brook
weedon-beck	Weedon Beck	Weedon Beck
wellow-brook	Wellow Brook	Wellow Brook
wendlebury-brook	Wendlebury Brook	Wendlebury Brook
wendling-beck	Wendling Beck	Wendling Beck
wendover-springs	Wendover Springs	Wendover Springs
wesley-brook	Wesley Brook	Wesley Brook
west-bank-pond	West Bank Pond	West Bank Pond
west-beck-county-durham	West Beck	West Beck (County Durham)
west-brook-hampshire	West Brook	West Brook (Hampshire)
west-brook-kent	West Brook	West Brook (Kent)
west-clough	West Clough	West Clough
west-dart-river	West Dart River	West Dart River
west-fen-catchwater-drain	West Fen Catchwater Drain	West Fen Catchwater Drain
west-glen-river	West Glen River	West Glen River
west-lyn-river	West Lyn River	West Lyn River
west-moor-drain	West Moor Drain	West Moor Drain
west-okement-river	West Okement River	West Okement River
west-sedgemoor-drain	West Sedgemoor Drain	West Sedgemoor Drain
western-drain	Western Drain	Western Drain
western-yar	Western Yar	Western Yar
whaddon-brook-cambridgeshire	Whaddon Brook	Whaddon Brook (Cambridgeshire)
whaddon-brook-gloucestershire	Whaddon Brook	Whaddon Brook (Gloucestershire)
wheelan-dyke	Wheelan Dyke	Wheelan Dyke
whetstone-brook	Whetstone Brook	Whetstone Brook
whiston-brook	Whiston Brook	Whiston Brook
white-water-dyke	White Water Dyke	White Water Dyke
whitley-beck	Whitley Beck	Whitley Beck
whitley-brook	Whitley Brook	Whitley Brook
willow-beck	Willow Beck	Willow Beck
willow-brook	Willow Brook	Willow Brook
wincham-brook	Wincham Brook	Wincham Brook
windermere	Windermere	Windermere
windle-brook	Windle Brook	Windle Brook
winestead-drain	Winestead Drain	Winestead Drain
winford-brook	Winford Brook	Winford Brook
winterbourne-stream-berkshire	Winterbourne Stream	Winterbourne Stream (Berkshire)
winterbourne-stream-sussex	Winterbourne Stream	Winterbourne Stream (Sussex)
witcombe-bottom-main-drain	Witcombe Bottom Main Drain	Witcombe Bottom Main Drain
withy-brook	Withy Brook	Withy Brook
withycombe-brook	Withycombe Brook	Withycombe Brook
wiza-beck	Wiza Beck	Wiza Beck
wood-brook	Wood Brook	Wood Brook
woodbridge-brook	Woodbridge Brook	Woodbridge Brook
wool-brook	Wool Brook	Wool Brook
wooler-water	Wooler Water	Wooler Water
wootton-brook	Wootton Brook	Wootton Brook
worsley-brook	Worsley Brook	Worsley Brook
wortley-beck	Wortley Beck	Wortley Beck
wotton-brook-devon	Wotton Brook	Wotton Brook (Devon)
wotton-brook-gloucestershire	Wotton Brook	Wotton Brook (Gloucestershire)
wraysbury-river	Wraysbury River	Wraysbury River
wych-brook	Wych Brook	Wych Brook
wydon-burn	Wydon Burn	Wydon Burn
wyke-beck	Wyke Beck	Wyke Beck
wymans-brook	Wymans Brook	Wymans Brook
yazor-brook	Yazor Brook	Yazor Brook
yeading-brook	Yeading Brook	Yeading Brook
yeading-brook-eastern-arm	Yeading Brook	Yeading Brook (Eastern Arm)
yeolands-stream	Yeolands Stream	Yeolands Stream
river-lodden-dorset	River Lodden	River Lodden (Dorset)
beauvale-brook	Beauvale Brook	Beauvale Brook
beverley-and-barmston-drain	Beverley and Barmston Drain	Beverley and Barmston Drain
blind-beck	Blind Beck	Blind Beck
borsdane-brook	Borsdane Brook	Borsdane Brook
borehamwood-brook	Borehamwood Brook	Borehamwood Brook
borough-beck	Borough Beck	Borough Beck
boyces-brook	Boyces Brook	Boyces Brook
bradwell-brook	Bradwell Brook	Bradwell Brook
broadlane-beck	Broadlane Beck	Broadlane Beck
brough-clough	Brough Clough	Brough Clough
coniston-water	Coniston Water	Coniston Water
counter-drain	Counter Drain	Counter Drain
cowbridge-beck	Cowbridge Beck	Cowbridge Beck
crook-beck	Crook Beck	Crook Beck
eea-river	Eea River	Eea River
ewood-mill-race	Ewood Mill Race	Ewood Mill Race
gill-beck	Gill Beck	Gill Beck
haweswater-reservoir	Haweswater Reservoir	Haweswater Reservoir
heys-brook	Heys Brook	Heys Brook
horsebridge-dyke	Horsebridge Dyke	Horsebridge Dyke
keyingham-drain	Keyingham Drain	Keyingham Drain
kirk-beck	Kirk Beck	Kirk Beck
lambrok-stream	Lambrok Stream	Lambrok Stream
lowfield-drain	Lowfield Drain	Lowfield Drain
market-weighton-canal	Market Weighton Canal	Market Weighton Canal
nailsworth-stream	Nailsworth Stream	Nailsworth Stream
new-mill-dike	New Mill Dike	New Mill Dike
old-river-tone	Old River Tone	Old River Tone
ponsandane-stream	Ponsandane Stream	Ponsandane Stream
gouthwaite-reservoir	Gouthwaite Reservoir	Gouthwaite Reservoir
river-tham	River Tham	River Tham
roam-drain	Roam Drain	Roam Drain
small-river-lee	Small River Lee	Small River Lee
stocksfield-burn	Stocksfield Burn	Stocksfield Burn
thirlmere-reservoir	Thirlmere Reservoir	Thirlmere Reservoir
woodborough-brook	Woodborough Brook	Woodborough Brook
wyre-river	Wyre River	Wyre River
